Time,Source IP,Destination IP,Protocol,Source Port,Destination Port,Packet Size
2026-07-05 15:04:25,51.104.15.252,192.168.0.121,TCP,443,61705,60
2026-07-05 15:04:26,51.104.15.252,192.168.0.121,TCP,443,61705,60
2026-07-05 15:04:26,51.104.15.252,192.168.0.121,TCP,443,61705,60
2026-07-05 15:04:26,51.104.15.252,192.168.0.121,TCP,443,61705,93
2026-07-05 15:04:26,192.168.0.121,51.104.15.252,TCP,61705,443,54
2026-07-05 15:04:27,157.240.227.60,192.168.0.121,TCP,5222,65089,186
2026-07-05 15:04:27,192.168.0.121,157.240.227.60,TCP,65089,5222,54
2026-07-05 15:04:27,192.168.0.121,157.240.227.60,TCP,65089,5222,127
2026-07-05 15:04:27,157.240.227.60,192.168.0.121,TCP,5222,65089,60
2026-07-05 15:04:28,51.104.15.252,192.168.0.121,TCP,443,61705,153
2026-07-05 15:04:28,192.168.0.121,51.104.15.252,TCP,61705,443,89
2026-07-05 15:04:28,192.168.0.121,104.18.32.47,TCP,64633,443,7923
2026-07-05 15:04:28,192.168.0.121,104.18.32.47,TCP,64633,443,227
2026-07-05 15:04:28,104.18.32.47,192.168.0.121,TCP,443,64633,60
2026-07-05 15:04:28,104.18.32.47,192.168.0.121,TCP,443,64633,60
2026-07-05 15:04:28,104.18.32.47,192.168.0.121,TCP,443,64633,60
2026-07-05 15:04:28,104.18.32.47,192.168.0.121,TCP,443,64633,60
2026-07-05 15:04:28,104.18.32.47,192.168.0.121,TCP,443,64633,501
2026-07-05 15:04:28,104.18.32.47,192.168.0.121,TCP,443,64633,132
2026-07-05 15:04:28,51.104.15.252,192.168.0.121,TCP,443,61705,60
2026-07-05 15:04:28,192.168.0.121,104.18.32.47,TCP,64633,443,54
2026-07-05 15:04:28,192.168.0.121,104.18.32.47,TCP,64633,443,89
2026-07-05 15:04:28,104.18.32.47,192.168.0.121,TCP,443,64633,60
2026-07-05 15:04:29,192.168.0.121,172.64.148.235,TCP,58460,443,144
2026-07-05 15:04:29,192.168.0.121,104.18.32.47,TCP,64633,443,9849
2026-07-05 15:04:29,192.168.0.121,104.18.32.47,TCP,64633,443,133
2026-07-05 15:04:29,192.168.0.121,104.18.32.47,TCP,64633,443,9856
2026-07-05 15:04:29,192.168.0.121,104.18.32.47,TCP,64633,443,137
2026-07-05 15:04:29,104.18.32.47,192.168.0.121,TCP,443,64633,60
2026-07-05 15:04:29,104.18.32.47,192.168.0.121,TCP,443,64633,60
2026-07-05 15:04:29,104.18.32.47,192.168.0.121,TCP,443,64633,60
2026-07-05 15:04:29,104.18.32.47,192.168.0.121,TCP,443,64633,60
2026-07-05 15:04:29,104.18.32.47,192.168.0.121,TCP,443,64633,60
2026-07-05 15:04:29,104.18.32.47,192.168.0.121,TCP,443,64633,60
2026-07-05 15:04:29,104.18.32.47,192.168.0.121,TCP,443,64633,60
2026-07-05 15:04:29,104.18.32.47,192.168.0.121,TCP,443,64633,60
2026-07-05 15:04:29,104.18.32.47,192.168.0.121,TCP,443,64633,60
2026-07-05 15:04:29,104.18.32.47,192.168.0.121,TCP,443,64633,60
2026-07-05 15:04:29,104.18.32.47,192.168.0.121,TCP,443,64633,60
2026-07-05 15:04:29,104.18.32.47,192.168.0.121,TCP,443,64633,60
2026-07-05 15:04:29,104.18.32.47,192.168.0.121,TCP,443,64633,60
2026-07-05 15:04:29,192.168.0.121,172.64.148.235,TCP,58460,443,144
2026-07-05 15:04:29,172.64.148.235,192.168.0.121,TCP,443,58460,138
2026-07-05 15:04:29,104.18.32.47,192.168.0.121,TCP,443,64633,1466
2026-07-05 15:04:29,104.18.32.47,192.168.0.121,TCP,443,64633,791
2026-07-05 15:04:29,192.168.0.121,104.18.32.47,TCP,64633,443,54
2026-07-05 15:04:29,104.18.32.47,192.168.0.121,TCP,443,64633,867
2026-07-05 15:04:29,104.18.32.47,192.168.0.121,TCP,443,64633,85
2026-07-05 15:04:29,192.168.0.121,104.18.32.47,TCP,64633,443,54
2026-07-05 15:04:29,104.18.32.47,192.168.0.121,TCP,443,64633,1249
2026-07-05 15:04:29,172.64.148.235,192.168.0.121,TCP,443,58460,70
2026-07-05 15:04:29,192.168.0.121,172.64.148.235,TCP,58460,443,54
2026-07-05 15:04:29,192.168.0.121,104.18.32.47,TCP,64633,443,54
2026-07-05 15:04:29,142.250.203.170,192.168.0.121,UDP,443,59258,164
2026-07-05 15:04:29,192.168.0.121,142.250.203.170,UDP,59258,443,76
2026-07-05 15:04:30,192.168.0.121,172.64.148.235,TCP,58460,443,144
2026-07-05 15:04:30,172.64.148.235,192.168.0.121,TCP,443,58460,64
2026-07-05 15:04:31,172.64.148.235,192.168.0.121,TCP,443,58460,137
2026-07-05 15:04:31,192.168.0.121,172.64.148.235,TCP,58460,443,54
2026-07-05 15:04:31,192.168.0.121,192.168.0.1,UDP,59867,53,89
2026-07-05 15:04:31,192.168.0.121,192.168.0.1,UDP,64282,53,89
2026-07-05 15:04:31,192.168.0.1,192.168.0.121,UDP,53,59867,146
2026-07-05 15:04:31,192.168.0.1,192.168.0.121,UDP,53,64282,105
2026-07-05 15:04:31,192.168.0.121,142.250.202.14,UDP,54489,443,1292
2026-07-05 15:04:31,192.168.0.121,142.250.202.14,UDP,54489,443,1292
2026-07-05 15:04:31,192.168.0.121,142.250.202.14,UDP,54489,443,1292
2026-07-05 15:04:31,192.168.0.121,142.250.202.14,UDP,54489,443,121
2026-07-05 15:04:31,192.168.0.121,142.250.202.14,UDP,54489,443,428
2026-07-05 15:04:31,142.250.202.14,192.168.0.121,UDP,443,54489,82
2026-07-05 15:04:31,142.250.202.14,192.168.0.121,UDP,443,54489,82
2026-07-05 15:04:31,142.250.202.14,192.168.0.121,UDP,443,54489,1292
2026-07-05 15:04:31,142.250.202.14,192.168.0.121,UDP,443,54489,1292
2026-07-05 15:04:31,192.168.0.121,142.250.202.14,UDP,54489,443,1292
2026-07-05 15:04:31,142.250.202.14,192.168.0.121,UDP,443,54489,1292
2026-07-05 15:04:31,142.250.202.14,192.168.0.121,UDP,443,54489,1292
2026-07-05 15:04:31,142.250.202.14,192.168.0.121,UDP,443,54489,334
2026-07-05 15:04:31,142.250.202.14,192.168.0.121,UDP,443,54489,1000
2026-07-05 15:04:31,142.250.202.14,192.168.0.121,UDP,443,54489,111
2026-07-05 15:04:31,142.250.202.14,192.168.0.121,UDP,443,54489,66
2026-07-05 15:04:31,192.168.0.121,142.250.202.14,UDP,54489,443,136
2026-07-05 15:04:31,192.168.0.121,142.250.202.14,UDP,54489,443,73
2026-07-05 15:04:31,192.168.0.121,142.250.202.14,UDP,54489,443,74
2026-07-05 15:04:31,142.250.202.14,192.168.0.121,UDP,443,54489,162
2026-07-05 15:04:31,142.250.202.14,192.168.0.121,UDP,443,54489,64
2026-07-05 15:04:31,192.168.0.121,142.250.202.14,UDP,54489,443,73
2026-07-05 15:04:31,142.250.202.14,192.168.0.121,UDP,443,54489,410
2026-07-05 15:04:31,142.250.202.14,192.168.0.121,UDP,443,54489,63
2026-07-05 15:04:31,192.168.0.121,142.250.202.14,UDP,54489,443,77
2026-07-05 15:04:31,192.168.0.121,172.64.144.52,TCP,57524,443,54
2026-07-05 15:04:31,192.168.0.121,104.18.32.47,TCP,64633,443,54
2026-07-05 15:04:31,172.64.144.52,192.168.0.121,TCP,443,57524,58
2026-07-05 15:04:31,192.168.0.121,172.64.144.52,TCP,57524,443,54
2026-07-05 15:04:31,104.18.32.47,192.168.0.121,TCP,443,64633,54
2026-07-05 15:04:31,192.168.0.121,104.18.32.47,TCP,64633,443,54
2026-07-05 15:04:31,142.250.202.14,192.168.0.121,UDP,443,54489,65
2026-07-05 15:04:31,192.168.0.121,157.240.227.60,TCP,65089,5222,123
2026-07-05 15:04:31,157.240.227.60,192.168.0.121,TCP,5222,65089,60
2026-07-05 15:04:32,157.240.227.60,192.168.0.121,TCP,5222,65089,125
2026-07-05 15:04:32,192.168.0.121,157.240.227.60,TCP,65089,5222,54
2026-07-05 15:04:32,104.18.39.21,192.168.0.121,TCP,443,59787,82
2026-07-05 15:04:32,192.168.0.121,104.18.39.21,TCP,59787,443,82
2026-07-05 15:04:32,104.18.39.21,192.168.0.121,TCP,443,59787,64
2026-07-05 15:04:33,192.168.0.121,104.18.32.47,TCP,55571,443,66
2026-07-05 15:04:33,192.168.0.121,172.64.148.235,TCP,58460,443,144
2026-07-05 15:04:33,172.64.148.235,192.168.0.121,TCP,443,58460,64
2026-07-05 15:04:33,104.18.32.47,192.168.0.121,TCP,443,55571,70
